gene,mean_healthy,mean_disease,log2FC,pvalue,cohens_d,FDR
ENSG00000108813,0.3974224851727555,0.4083743323313759,0.010951847158620354,0.9142215960322135,-0.019161573072307272,0.9998566354027545
ENSG00000005884,1.878314138890986,1.9927598839318406,0.11444574504085447,0.3336722395141206,-0.17252755237498613,0.9998566354027545
ENSG00000005882,5.264735976769819,5.335921980270081,0.07118600350026227,0.588565115620731,-0.09638143747344964,0.9998566354027545
ENSG00000167100,0.49004371985962775,0.5330487413819547,0.043005021522326936,0.635416488459164,-0.08437679678110717,0.9998566354027545
ENSG00000108819,1.8419776902680702,1.8365682254963773,-0.005409464771692907,0.9633661775565261,0.008183941604486513,0.9998566354027545
ENSG00000108823,0.4164021635517699,0.45716168382515937,0.04075952027338947,0.7430049041486428,-0.05835232457595471,0.9998566354027545
ENSG00000108821,1.487636902839694,1.4748350943778088,-0.012801808461885278,0.912670141837862,0.01950777209007957,0.9998566354027545
ENSG00000015532,3.835382578441769,3.756716929325225,-0.07866564911654406,0.46451182836743143,0.13028530937819144,0.9998566354027545
ENSG00000108826,4.291354836956269,4.3482234455218505,0.056868608565581624,0.676447123492607,-0.07423919554739926,0.9998566354027545
ENSG00000154920,1.1886789886853844,1.1682228869450924,-0.020456101740292,0.9155179651362211,0.018869939145339562,0.9998566354027545
ENSG00000108829,5.230910312749268,5.000382084824529,-0.23052822792473915,0.020309416682169477,0.41717374615600666,0.6651578893716598
ENSG00000167107,4.398924708029312,4.509226614412458,0.11030190638314608,0.5430681477350812,-0.10837152224158049,0.9998566354027545
ENSG00000136457,0.634736773008864,0.5595311324716598,-0.07520564053720424,0.7385000480504403,0.05939553335033737,0.9998566354027545
ENSG00000136444,5.599655181162913,5.630242155858318,0.030586974695404834,0.8811449654509942,-0.02659537781351889,0.9998566354027545
ENSG00000136449,3.583297852428224,3.537691415661813,-0.04560643676641085,0.7166851191811854,0.06456435541355916,0.9998566354027545
ENSG00000049283,0.7340409538789049,0.7386773778425028,0.004636423963597869,0.9567582024529822,-0.009647353336186971,0.9998566354027545
ENSG00000006282,4.798811052082408,5.110165765708033,0.31135471362562495,0.07435226970699946,-0.3193703182772593,0.9998566354027545
ENSG00000006283,0.5618908988939886,0.5723874930918929,0.010496594197904274,0.8607775499517041,-0.03125288367122835,0.9998566354027545
ENSG00000108846,2.5514294127921344,2.535202343629887,-0.016227069162247254,0.945345086866394,0.012220639146057437,0.9998566354027545
ENSG00000154945,3.649284896045164,3.7451940557383576,0.09590915969319358,0.4051049541184958,-0.14856863230722903,0.9998566354027545
ENSG00000108848,7.184265380490858,7.364629604050164,0.18036422355930615,0.22473107788847005,-0.21653795504550888,0.9998566354027545
ENSG00000167117,1.877381029006624,2.001089142883903,0.12370811387727887,0.21281034876022806,-0.22231946731072283,0.9998566354027545
ENSG00000141232,7.2307320845570136,6.738607816093026,-0.4921242684639875,0.04459319711177948,0.36195325939740164,0.9282142317912179
ENSG00000008294,4.380027262638035,4.256491336951829,-0.1235359256862063,0.29926930601652424,0.1852694698367443,0.9998566354027545
ENSG00000239672,3.7573626912318137,3.9097247815955516,0.15236209036373793,0.36730332572977176,-0.16065496078369187,0.9998566354027545
ENSG00000011052,1.3814499764797286,1.453102556706107,0.07165258022637855,0.7066932991262682,-0.06706912336332135,0.9998566354027545
ENSG00000243678,5.508276516915904,5.665241144347258,0.15696462743135342,0.439973285510301,-0.1375911297882332,0.9998566354027545
ENSG00000011258,3.7714561738269703,3.68364543222958,-0.08781074159739033,0.5414389495800805,0.10867266660326023,0.9998566354027545
ENSG00000011260,5.660951206579853,5.450563290078147,-0.21038791650170552,0.09981123349517068,0.2942695972907171,0.9998566354027545
ENSG00000141198,0.7246331708750113,0.6723721983412548,-0.0522609725337565,0.6679322559621974,0.07642241289959387,0.9998566354027545
ENSG00000166260,5.521145857494892,5.586473301281683,0.06532744378679123,0.6367399236812855,-0.08488139239125726,0.9998566354027545
ENSG00000166263,2.809814937111918,2.9294346195863628,0.11961968247444466,0.5446409709484598,-0.1078398655917109,0.9998566354027545
ENSG00000108924,0.5519415950488962,0.4636109802614251,-0.08833061478747106,0.5751854520419917,0.10046589596539196,0.9998566354027545
ENSG00000108960,3.4196678618730925,3.1690430566980514,-0.25062480517504104,0.25920701380089783,0.20136542844576932,0.9998566354027545
ENSG00000261873,1.6916670709952442,1.8125994065856315,0.1209323355903873,0.2723783961298471,-0.1961934986717022,0.9998566354027545
ENSG00000141179,3.593567423114628,3.510210177916564,-0.08335724519806398,0.7184660079060134,0.06431175381966153,0.9998566354027545
ENSG00000183691,1.049465605891509,0.9844217345686889,-0.06504387132282019,0.7505495682054473,0.056558397880802594,0.9998566354027545
ENSG00000214226,1.3396629730289975,1.3656820408750796,0.0260190678460821,0.8479195836185179,-0.03410761665002397,0.9998566354027545
ENSG00000153933,3.6883692352974884,3.915116237820236,0.22674700252274782,0.21036500918357515,-0.22346825859287792,0.9998566354027545
ENSG00000121060,5.8330996838787135,5.49706666421011,-0.3360330196686032,0.026112761835890088,0.39956513743349714,0.7466551494050849
