gene_id,mean_healthy,mean_disease,log2fc,pvalue,fdr,significant
ENSG00000162366,0.7098123218608166,0.6678983899008817,-0.08768161798703085,0.8410592037852616,0.9991161405974711,False
ENSG00000176444,3.579740522366632,3.6010409796937166,0.008556616744484328,0.8419128998874372,0.9991161405974711,False
ENSG00000143669,5.571761866229236,5.524031923338157,-0.012409705531502056,0.8423960834556019,0.9991161405974711,False
ENSG00000143382,2.1379049998559245,2.0808975842449535,-0.038973306952482925,0.8424638282159123,0.9991161405974711,False
ENSG00000116977,6.585956438471273,6.554778918687196,-0.006844806097242873,0.8436317878933561,0.9991161405974711,False
ENSG00000158156,4.165639515809073,4.193424044608244,0.009588433139723736,0.8445820682545853,0.9991161405974711,False
ENSG00000188585,0.37406021818628776,0.3537626396293077,-0.08026816148531388,0.8451930617141377,0.9991161405974711,False
ENSG00000215788,4.9405898618906985,5.043485384824295,0.02973182374160435,0.8466015279993437,0.9991161405974711,False
ENSG00000133069,1.0683424062443385,1.0998333969474903,0.041872262349006484,0.8471118177402236,0.9991161405974711,False
ENSG00000121766,4.7980079900280925,4.821804155270074,0.0071360111926022105,0.8498440971256868,0.9991161405974711,False
ENSG00000116903,3.3689142283952953,3.345940344659429,-0.009869035282617664,0.8506063070366376,0.9991161405974711,False
ENSG00000134247,0.2697527984547783,0.2884750010510951,0.09646251364866716,0.8509684984679986,0.9991161405974711,False
ENSG00000183831,0.8295431303743483,0.8393509153757663,0.01693680736798121,0.8524060825153132,0.9991161405974711,False
ENSG00000132694,1.6608671720619084,1.6198034370499863,-0.03609593792221286,0.8525659323000138,0.9991161405974711,False
ENSG00000163041,8.164778835958028,8.18834016371847,0.004156721113733171,0.8528294855112852,0.9991161405974711,False
ENSG00000054267,7.305489974248355,7.279845380289284,-0.005072532542182397,0.8531999040004437,0.9991161405974711,False
ENSG00000143590,1.0201969935122732,1.0414566306152433,0.02972616894008683,0.8533479280675669,0.9991161405974711,False
ENSG00000137962,1.7344670972468812,1.7102228999914484,-0.020296319110995973,0.8535400389742251,0.9991161405974711,False
ENSG00000116560,7.042309915355141,7.061945499902807,0.004016399521232137,0.8535491590944104,0.9991161405974711,False
ENSG00000117528,4.284607670828182,4.3092281898815195,0.008264466295503661,0.8541644419031156,0.9991161405974711,False
ENSG00000222046,1.2969724634581947,1.2776779852653248,-0.021606786688342868,0.8545021644488349,0.9991161405974711,False
ENSG00000251503,0.5421466233938148,0.5233716845897383,-0.05075192474176108,0.8562000620555561,0.9991161405974711,False
ENSG00000171357,0.8120645809928732,0.8278560216341255,0.027751567953107823,0.8572402019946204,0.9991161405974711,False
ENSG00000162594,1.0673920091798745,1.0238730996535916,-0.059995805280686966,0.8579461466978943,0.9991161405974711,False
ENSG00000171621,0.9555024348195615,0.9302191258961136,-0.03864795159726643,0.8584800873126679,0.9991161405974711,False
ENSG00000162892,4.250967270715527,4.183820023974195,-0.022964913539425088,0.8585091463168311,0.9991161405974711,False
ENSG00000160856,4.585037184607071,4.665875178514561,0.02520882845495332,0.8587786567622692,0.9991161405974711,False
ENSG00000117298,5.20949673559222,5.174969804987769,-0.00959171530528679,0.8589961025085247,0.9991161405974711,False
ENSG00000185090,0.4077282160331912,0.424738804528246,0.05882675105055129,0.8593050084801779,0.9991161405974711,False
ENSG00000133059,3.309683043054361,3.289407916703398,-0.00886244907177664,0.8598656164295693,0.9991161405974711,False
ENSG00000203995,0.829299363398692,0.840875136739831,0.019974682752231944,0.8602202234737247,0.9991161405974711,False
ENSG00000142611,1.7784586523473656,1.7583918780704992,-0.016361553435818,0.8607892463796089,0.9991161405974711,False
ENSG00000204084,4.98923445996101,5.010854964979041,0.0062370656024545975,0.8617724146516583,0.9991161405974711,False
ENSG00000143570,5.350468385860663,5.329461767953483,-0.00567428959229825,0.8625538074807181,0.9991161405974711,False
ENSG00000116299,2.677136177595878,2.729089413922792,0.027718881490126666,0.8635160830653689,0.9991161405974711,False
ENSG00000143248,1.3840352560095086,1.411631200080811,0.028462165573684858,0.8637759437970017,0.9991161405974711,False
ENSG00000157978,5.721860044384467,5.654436158978423,-0.01709803329370744,0.8647707789177319,0.9991161405974711,False
ENSG00000142875,6.468567200820502,6.42572315212452,-0.009585876604455807,0.8649260588713911,0.9991161405974711,False
ENSG00000163563,3.954008742778912,4.070459546052556,0.04186518394051661,0.8655735700919684,0.9991161405974711,False
ENSG00000142959,0.5834478627979731,0.5974525363734098,0.034162499596066404,0.8656921231303882,0.9991161405974711,False
ENSG00000116809,5.670339083668788,5.6536058554351305,-0.004262949022867006,0.8657263688236488,0.9991161405974711,False
ENSG00000116191,3.5743263372199388,3.513721919380238,-0.02466438011525906,0.8661624032704094,0.9991161405974711,False
ENSG00000132906,3.5550993018087804,3.57877832178727,0.009574640117180015,0.8669433939812508,0.9991161405974711,False
ENSG00000120333,4.325394959855354,4.345447443403168,0.00667132383541818,0.8671007669156691,0.9991161405974711,False
ENSG00000187144,1.7267776266082764,1.743226897685046,0.013670177673992303,0.868067936179651,0.9991161405974711,False
ENSG00000168528,0.6575032186612465,0.6295973228525467,-0.06247144697304182,0.869024253987188,0.9991161405974711,False
ENSG00000182827,3.0522691426818174,3.0345986541709054,-0.0083737070880296,0.8699397491422238,0.9991161405974711,False
ENSG00000213190,2.64166130378488,2.6197189088251482,-0.012028911652553443,0.8705921694526704,0.9991161405974711,False
