feature,importance
ENSG00000198734,0.000356224007673971
ENSG00000079335,0.0002642302284201062
ENSG00000117399,0.0002433220206089208
ENSG00000116514,0.0002076824688081481
ENSG00000117643,0.00017625683201919441
ENSG00000162542,0.00010371293055837241
ENSG00000072694,8.112977687259253e-05
ENSG00000135775,7.160506928410195e-05
ENSG00000117091,5.86238969226801e-05
ENSG00000163874,4.732590535891711e-05
ENSG00000162909,3.8488054113543346e-05
ENSG00000117410,0.0
ENSG00000196878,0.0
ENSG00000143248,0.0
ENSG00000150337,0.0
ENSG00000196189,0.0
ENSG00000143479,0.0
ENSG00000049246,0.0
ENSG00000122432,0.0
ENSG00000117280,0.0
ENSG00000244682,0.0
ENSG00000158473,0.0
ENSG00000162894,0.0
ENSG00000176083,0.0
ENSG00000170989,0.0
ENSG00000081237,0.0
ENSG00000127124,0.0
ENSG00000162676,0.0
ENSG00000117586,0.0
ENSG00000118729,0.0
ENSG00000143436,0.0
ENSG00000163346,0.0
ENSG00000054392,0.0
ENSG00000169242,0.0
ENSG00000182183,0.0
ENSG00000188641,0.0
ENSG00000020633,0.0
ENSG00000116194,0.0
ENSG00000116251,0.0
ENSG00000117791,0.0
ENSG00000162383,0.0
ENSG00000143669,0.0
ENSG00000132718,0.0
ENSG00000184005,0.0
ENSG00000117400,0.0
ENSG00000133065,0.0
ENSG00000135842,0.0
ENSG00000143851,0.0
ENSG00000143554,0.0
ENSG00000143847,0.0
ENSG00000154358,0.0
ENSG00000158714,0.0
ENSG00000097021,0.0
ENSG00000158062,0.0
ENSG00000177674,0.0
ENSG00000154511,0.0
ENSG00000197747,0.0
ENSG00000008130,0.0
ENSG00000116991,0.0
ENSG00000116791,0.0
ENSG00000084070,0.0
ENSG00000142733,0.0
ENSG00000117632,0.0
ENSG00000162373,0.0
ENSG00000188404,0.0
ENSG00000123685,0.0
ENSG00000083444,0.0
ENSG00000142657,0.0
ENSG00000196407,0.0
ENSG00000173369,0.0
ENSG00000143382,0.0
ENSG00000134709,0.0
ENSG00000116983,0.0
ENSG00000116711,0.0
ENSG00000137942,0.0
ENSG00000177954,0.0
